"","x","y","total_counts"
"PDAC-A-ST1_16x26",16,26,250
"PDAC-A-ST1_16x27",16,27,546
"PDAC-A-ST1_16x28",16,28,219
"PDAC-A-ST1_16x30",16,30,996
"PDAC-A-ST1_16x31",16,31,1617
"PDAC-A-ST1_16x32",16,32,1096
"PDAC-A-ST1_16x33",16,33,921
"PDAC-A-ST1_16x34",16,34,330
"PDAC-A-ST1_17x13",17,13,9397
"PDAC-A-ST1_17x14",17,14,7842
"PDAC-A-ST1_17x15",17,15,9092
"PDAC-A-ST1_17x16",17,16,5139
"PDAC-A-ST1_17x17",17,17,5774
"PDAC-A-ST1_17x18",17,18,7130
"PDAC-A-ST1_17x19",17,19,766
"PDAC-A-ST1_17x20",17,20,377
"PDAC-A-ST1_17x21",17,21,399
"PDAC-A-ST1_17x22",17,22,699
"PDAC-A-ST1_17x23",17,23,254
"PDAC-A-ST1_17x24",17,24,383
"PDAC-A-ST1_17x25",17,25,445
"PDAC-A-ST1_17x26",17,26,646
"PDAC-A-ST1_17x28",17,28,212
"PDAC-A-ST1_17x29",17,29,291
"PDAC-A-ST1_17x30",17,30,450
"PDAC-A-ST1_17x31",17,31,937
"PDAC-A-ST1_17x32",17,32,1358
"PDAC-A-ST1_17x33",17,33,698
"PDAC-A-ST1_17x34",17,34,2383
"PDAC-A-ST1_18x13",18,13,7931
"PDAC-A-ST1_18x14",18,14,3074
"PDAC-A-ST1_18x15",18,15,3878
"PDAC-A-ST1_18x16",18,16,2263
"PDAC-A-ST1_18x17",18,17,2442
"PDAC-A-ST1_18x18",18,18,951
"PDAC-A-ST1_18x19",18,19,621
"PDAC-A-ST1_18x20",18,20,391
"PDAC-A-ST1_18x21",18,21,216
"PDAC-A-ST1_18x22",18,22,262
"PDAC-A-ST1_18x23",18,23,306
"PDAC-A-ST1_18x24",18,24,391
"PDAC-A-ST1_18x25",18,25,251
"PDAC-A-ST1_18x26",18,26,545
"PDAC-A-ST1_18x28",18,28,596
"PDAC-A-ST1_18x29",18,29,218
"PDAC-A-ST1_18x30",18,30,838
"PDAC-A-ST1_18x31",18,31,545
"PDAC-A-ST1_18x32",18,32,3694
"PDAC-A-ST1_18x33",18,33,3426
"PDAC-A-ST1_18x34",18,34,2736
"PDAC-A-ST1_19x13",19,13,3110
"PDAC-A-ST1_19x14",19,14,2199
"PDAC-A-ST1_19x15",19,15,2626
"PDAC-A-ST1_19x17",19,17,724
"PDAC-A-ST1_19x18",19,18,485
"PDAC-A-ST1_19x19",19,19,466
"PDAC-A-ST1_19x20",19,20,436
"PDAC-A-ST1_19x21",19,21,315
"PDAC-A-ST1_19x22",19,22,280
"PDAC-A-ST1_19x23",19,23,186
"PDAC-A-ST1_19x24",19,24,300
"PDAC-A-ST1_19x25",19,25,291
"PDAC-A-ST1_19x26",19,26,249
"PDAC-A-ST1_19x27",19,27,203
"PDAC-A-ST1_19x28",19,28,187
"PDAC-A-ST1_19x29",19,29,206
"PDAC-A-ST1_19x30",19,30,331
"PDAC-A-ST1_19x31",19,31,1076
"PDAC-A-ST1_19x32",19,32,1005
"PDAC-A-ST1_19x33",19,33,1386
"PDAC-A-ST1_19x34",19,34,2450
"PDAC-A-ST1_20x13",20,13,2665
"PDAC-A-ST1_20x14",20,14,1318
"PDAC-A-ST1_20x15",20,15,1152
"PDAC-A-ST1_20x16",20,16,816
"PDAC-A-ST1_20x17",20,17,812
"PDAC-A-ST1_20x18",20,18,531
"PDAC-A-ST1_20x19",20,19,261
"PDAC-A-ST1_20x20",20,20,447
"PDAC-A-ST1_20x21",20,21,311
"PDAC-A-ST1_20x22",20,22,322
"PDAC-A-ST1_20x23",20,23,345
"PDAC-A-ST1_20x24",20,24,320
"PDAC-A-ST1_20x25",20,25,343
"PDAC-A-ST1_20x26",20,26,172
"PDAC-A-ST1_20x27",20,27,105
"PDAC-A-ST1_20x28",20,28,460
"PDAC-A-ST1_20x29",20,29,1116
"PDAC-A-ST1_20x30",20,30,1615
"PDAC-A-ST1_20x31",20,31,954
"PDAC-A-ST1_20x32",20,32,2655
"PDAC-A-ST1_20x33",20,33,1447
"PDAC-A-ST1_20x34",20,34,1615
"PDAC-A-ST1_21x14",21,14,684
"PDAC-A-ST1_21x15",21,15,919
"PDAC-A-ST1_21x16",21,16,689
"PDAC-A-ST1_21x17",21,17,415
"PDAC-A-ST1_21x18",21,18,309
"PDAC-A-ST1_21x19",21,19,204
"PDAC-A-ST1_21x20",21,20,387
"PDAC-A-ST1_21x21",21,21,616
"PDAC-A-ST1_21x22",21,22,248
"PDAC-A-ST1_21x23",21,23,377
"PDAC-A-ST1_21x24",21,24,152
"PDAC-A-ST1_21x25",21,25,226
"PDAC-A-ST1_21x26",21,26,211
"PDAC-A-ST1_21x27",21,27,77
"PDAC-A-ST1_21x28",21,28,975
"PDAC-A-ST1_21x29",21,29,1716
"PDAC-A-ST1_21x30",21,30,2087
"PDAC-A-ST1_21x31",21,31,1344
"PDAC-A-ST1_21x32",21,32,1987
"PDAC-A-ST1_21x33",21,33,773
"PDAC-A-ST1_22x14",22,14,745
"PDAC-A-ST1_22x15",22,15,398
"PDAC-A-ST1_22x16",22,16,496
"PDAC-A-ST1_22x17",22,17,520
"PDAC-A-ST1_22x18",22,18,222
"PDAC-A-ST1_22x19",22,19,193
"PDAC-A-ST1_22x20",22,20,276
"PDAC-A-ST1_22x21",22,21,406
"PDAC-A-ST1_22x23",22,23,198
"PDAC-A-ST1_22x24",22,24,189
"PDAC-A-ST1_22x25",22,25,183
"PDAC-A-ST1_22x26",22,26,282
"PDAC-A-ST1_22x27",22,27,210
"PDAC-A-ST1_22x28",22,28,1004
"PDAC-A-ST1_22x29",22,29,1444
"PDAC-A-ST1_22x30",22,30,1597
"PDAC-A-ST1_22x31",22,31,1380
"PDAC-A-ST1_22x32",22,32,2159
"PDAC-A-ST1_22x33",22,33,784
"PDAC-A-ST1_23x15",23,15,397
"PDAC-A-ST1_23x16",23,16,330
"PDAC-A-ST1_23x17",23,17,298
"PDAC-A-ST1_23x18",23,18,281
"PDAC-A-ST1_23x19",23,19,549
"PDAC-A-ST1_23x20",23,20,347
"PDAC-A-ST1_23x21",23,21,625
"PDAC-A-ST1_23x22",23,22,334
"PDAC-A-ST1_23x23",23,23,187
"PDAC-A-ST1_23x24",23,24,205
"PDAC-A-ST1_23x25",23,25,306
"PDAC-A-ST1_23x26",23,26,255
"PDAC-A-ST1_23x27",23,27,1406
"PDAC-A-ST1_23x28",23,28,907
"PDAC-A-ST1_23x29",23,29,1767
"PDAC-A-ST1_23x30",23,30,1408
"PDAC-A-ST1_23x31",23,31,1980
"PDAC-A-ST1_23x32",23,32,1258
"PDAC-A-ST1_24x16",24,16,334
"PDAC-A-ST1_24x17",24,17,282
"PDAC-A-ST1_24x18",24,18,481
"PDAC-A-ST1_24x19",24,19,430
"PDAC-A-ST1_24x20",24,20,288
"PDAC-A-ST1_24x21",24,21,187
"PDAC-A-ST1_24x22",24,22,216
"PDAC-A-ST1_24x23",24,23,265
"PDAC-A-ST1_24x24",24,24,309
"PDAC-A-ST1_24x25",24,25,120
"PDAC-A-ST1_24x26",24,26,505
"PDAC-A-ST1_24x27",24,27,3017
"PDAC-A-ST1_24x28",24,28,2222
"PDAC-A-ST1_24x29",24,29,821
"PDAC-A-ST1_24x30",24,30,1198
"PDAC-A-ST1_24x31",24,31,2229
"PDAC-A-ST1_24x32",24,32,3312
"PDAC-A-ST1_25x17",25,17,197
"PDAC-A-ST1_25x18",25,18,316
"PDAC-A-ST1_25x19",25,19,275
"PDAC-A-ST1_25x20",25,20,250
"PDAC-A-ST1_25x21",25,21,330
"PDAC-A-ST1_25x22",25,22,676
"PDAC-A-ST1_25x23",25,23,796
"PDAC-A-ST1_25x24",25,24,491
"PDAC-A-ST1_25x25",25,25,455
"PDAC-A-ST1_25x26",25,26,795
"PDAC-A-ST1_25x27",25,27,1653
"PDAC-A-ST1_25x28",25,28,1532
"PDAC-A-ST1_25x29",25,29,1089
"PDAC-A-ST1_25x30",25,30,1563
"PDAC-A-ST1_25x31",25,31,2750
"PDAC-A-ST1_25x32",25,32,7556
"PDAC-A-ST1_26x17",26,17,201
"PDAC-A-ST1_26x18",26,18,409
"PDAC-A-ST1_26x19",26,19,278
"PDAC-A-ST1_26x20",26,20,330
"PDAC-A-ST1_26x21",26,21,299
"PDAC-A-ST1_26x22",26,22,1095
"PDAC-A-ST1_26x23",26,23,2178
"PDAC-A-ST1_26x24",26,24,2187
"PDAC-A-ST1_26x25",26,25,1244
"PDAC-A-ST1_26x26",26,26,956
"PDAC-A-ST1_26x27",26,27,2748
"PDAC-A-ST1_26x28",26,28,1887
"PDAC-A-ST1_26x29",26,29,1607
"PDAC-A-ST1_26x30",26,30,1852
"PDAC-A-ST1_26x31",26,31,2345
"PDAC-A-ST1_27x18",27,18,203
"PDAC-A-ST1_27x19",27,19,268
"PDAC-A-ST1_27x20",27,20,436
"PDAC-A-ST1_27x21",27,21,2495
"PDAC-A-ST1_27x22",27,22,4767
"PDAC-A-ST1_27x23",27,23,2266
"PDAC-A-ST1_27x25",27,25,1468
"PDAC-A-ST1_27x26",27,26,1266
"PDAC-A-ST1_27x27",27,27,1337
"PDAC-A-ST1_27x28",27,28,2575
"PDAC-A-ST1_28x18",28,18,377
"PDAC-A-ST1_28x19",28,19,553
"PDAC-A-ST1_28x20",28,20,412
"PDAC-A-ST1_28x21",28,21,4013
"PDAC-A-ST1_28x22",28,22,4142
"PDAC-A-ST1_28x23",28,23,1059
"PDAC-A-ST1_28x25",28,25,1253
"PDAC-A-ST1_28x26",28,26,2477
"PDAC-A-ST1_29x19",29,19,1337
"PDAC-A-ST1_29x20",29,20,798
"PDAC-A-ST1_29x21",29,21,1443
"PDAC-A-ST1_29x22",29,22,1856
"PDAC-A-ST1_29x23",29,23,1027
"PDAC-A-ST1_2x14",2,14,664
"PDAC-A-ST1_2x15",2,15,377
"PDAC-A-ST1_2x16",2,16,1194
"PDAC-A-ST1_2x17",2,17,5162
"PDAC-A-ST1_2x18",2,18,1802
"PDAC-A-ST1_30x20",30,20,804
"PDAC-A-ST1_30x21",30,21,709
"PDAC-A-ST1_30x22",30,22,2880
"PDAC-A-ST1_3x13",3,13,541
"PDAC-A-ST1_3x14",3,14,928
"PDAC-A-ST1_3x15",3,15,131
"PDAC-A-ST1_3x16",3,16,755
"PDAC-A-ST1_3x17",3,17,1609
"PDAC-A-ST1_3x18",3,18,6783
"PDAC-A-ST1_4x10",4,10,503
"PDAC-A-ST1_4x11",4,11,1028
"PDAC-A-ST1_4x13",4,13,317
"PDAC-A-ST1_4x14",4,14,268
"PDAC-A-ST1_4x15",4,15,462
"PDAC-A-ST1_4x16",4,16,818
"PDAC-A-ST1_4x17",4,17,2151
"PDAC-A-ST1_4x8",4,8,3258
"PDAC-A-ST1_4x9",4,9,6473
"PDAC-A-ST1_5x10",5,10,2985
"PDAC-A-ST1_5x11",5,11,930
"PDAC-A-ST1_5x13",5,13,339
"PDAC-A-ST1_5x14",5,14,644
"PDAC-A-ST1_5x15",5,15,500
"PDAC-A-ST1_5x16",5,16,958
"PDAC-A-ST1_5x17",5,17,220
"PDAC-A-ST1_5x8",5,8,15314
"PDAC-A-ST1_5x9",5,9,5511
"PDAC-A-ST1_6x10",6,10,3927
"PDAC-A-ST1_6x11",6,11,1669
"PDAC-A-ST1_6x13",6,13,634
"PDAC-A-ST1_6x14",6,14,446
"PDAC-A-ST1_6x15",6,15,836
"PDAC-A-ST1_6x16",6,16,1310
"PDAC-A-ST1_6x31",6,31,6141
"PDAC-A-ST1_6x32",6,32,3584
"PDAC-A-ST1_6x33",6,33,1874
"PDAC-A-ST1_6x9",6,9,3838
"PDAC-A-ST1_7x10",7,10,1633
"PDAC-A-ST1_7x11",7,11,2244
"PDAC-A-ST1_7x13",7,13,948
"PDAC-A-ST1_7x14",7,14,932
"PDAC-A-ST1_7x31",7,31,1550
"PDAC-A-ST1_7x32",7,32,1210
"PDAC-A-ST1_7x33",7,33,1436
"PDAC-A-ST1_8x10",8,10,932
"PDAC-A-ST1_8x11",8,11,1043
"PDAC-A-ST1_8x13",8,13,1153
"PDAC-A-ST1_8x14",8,14,643
"PDAC-A-ST1_8x31",8,31,303
"PDAC-A-ST1_8x32",8,32,1233
"PDAC-A-ST1_8x33",8,33,1234
"PDAC-A-ST1_9x10",9,10,817
"PDAC-A-ST1_9x11",9,11,1869
"PDAC-A-ST1_9x13",9,13,2807
"PDAC-A-ST1_9x16",9,16,614
"PDAC-A-ST1_9x17",9,17,1192
"PDAC-A-ST1_9x18",9,18,1431
"PDAC-A-ST1_9x26",9,26,2455
"PDAC-A-ST1_9x27",9,27,1073
"PDAC-A-ST1_9x29",9,29,972
"PDAC-A-ST1_9x30",9,30,360
"PDAC-A-ST1_9x31",9,31,183
"PDAC-A-ST1_9x32",9,32,184
"PDAC-A-ST1_9x33",9,33,91
